|Index|pVelocitySplineBuffer|pPositionSplineBuffer
|803|30.3814|9.28067
|804|30.4092|9.31106
|805|30.4369|9.34149
|806|30.4644|9.37194
|807|30.4916|9.40242
|808|30.5187|9.43292
|809|30.5456|9.46345
|810|30.5723|9.49401
|811|30.5988|9.5246
|812|30.6251|9.55521
|813|30.6513|9.58585
|814|30.6772|9.61651
|815|30.703|9.6472
|816|30.7286|9.67792
|817|30.7539|9.70866
|818|30.7791|9.73943
|819|30.8042|9.77022
|820|30.829|9.80103
|821|30.8536|9.83188
|822|30.8781|9.86274
|823|30.9023|9.89363
|824|30.9264|9.92455
|825|30.9503|9.95548
|826|30.974|9.98645
|827|30.9975|10.0174
|828|31.0208|10.0484
|829|31.044|10.0795
|830|31.067|10.1105
|831|31.0897|10.1416
|832|31.1123|10.1727
|833|31.1347|10.2038
|834|31.157|10.235
|835|31.179|10.2661
|836|31.2009|10.2973
|837|31.2226|10.3285
|838|31.2441|10.3598
|839|31.2654|10.391
|840|31.2865|10.4223
|841|31.3075|10.4536
|842|31.3283|10.4849
|843|31.3489|10.5163
|844|31.3693|10.5476
|845|31.3895|10.579
|846|31.4096|10.6104
|847|31.4295|10.6418
|848|31.4492|10.6733
|849|31.4687|10.7047
|850|31.4881|10.7362
|851|31.5072|10.7677
|852|31.5262|10.7992
|853|31.5451|10.8307
|854|31.5637|10.8623
|855|31.5822|10.8939
|856|31.6005|10.9255
|857|31.6186|10.9571
|858|31.6366|10.9887
|859|31.6543|11.0204
|860|31.672|11.052
|861|31.6894|11.0837
|862|31.7067|11.1154
|863|31.7238|11.1471
|864|31.7407|11.1788
|865|31.7574|11.2106
|866|31.774|11.2424
|867|31.7905|11.2741
|868|31.8067|11.3059
|869|31.8228|11.3378
|870|31.8387|11.3696
|871|31.8545|11.4014
|872|31.8701|11.4333
|873|31.8855|11.4652
|874|31.9007|11.4971
|875|31.9158|11.529
|876|31.9308|11.5609
|877|31.9455|11.5928
|878|31.9601|11.6248
|879|31.9746|11.6568
|880|31.9889|11.6887
|881|32.003|11.7207
|882|32.017|11.7527
|883|32.0308|11.7848
|884|32.0444|11.8168
|885|32.0579|11.8489
|886|32.0713|11.8809
|887|32.0844|11.913
|888|32.0975|11.9451
|889|32.1103|11.9772
|890|32.123|12.0093
|891|32.1356|12.0414
|892|32.148|12.0736
|893|32.1603|12.1057
|894|32.1724|12.1379
|895|32.1843|12.1701
|896|32.1962|12.2023
|897|32.2078|12.2345
|898|32.2193|12.2667
|899|32.2307|12.2989
|900|32.2419|12.3311
|901|32.253|12.3634
|902|32.2639|12.3956
|903|32.2747|12.4279
|904|32.2853|12.4602
|905|32.2958|12.4925
|906|32.3062|12.5248
|907|32.3164|12.5571
|908|32.3264|12.5894
|909|32.3364|12.6218
|910|32.3462|12.6541
|911|32.3558|12.6864
|912|32.3653|12.7188
|913|32.3747|12.7512
|914|32.384|12.7836
|915|32.3931|12.8159
|916|32.402|12.8483
|917|32.4109|12.8807
|918|32.4196|12.9132
|919|32.4282|12.9456
|920|32.4366|12.978
|921|32.4449|13.0105
|922|32.4531|13.0429
|923|32.4612|13.0754
|924|32.4691|13.1078
|925|32.4769|13.1403
|926|32.4846|13.1728
|927|32.4921|13.2053
|928|32.4996|13.2378
|929|32.5069|13.2703
|930|32.5141|13.3028
|931|32.5211|13.3353
|932|32.5281|13.3678
|933|32.5349|13.4004
|934|32.5416|13.4329
|935|32.5482|13.4654
|936|32.5547|13.498
|937|32.561|13.5306
|938|32.5673|13.5631
|939|32.5734|13.5957
|940|32.5794|13.6283
|941|32.5853|13.6608
|942|32.5911|13.6934
|943|32.5968|13.726
|944|32.6024|13.7586
|945|32.6078|13.7912
|946|32.6132|13.8238
|947|32.6185|13.8565
|948|32.6236|13.8891
|949|32.6286|13.9217
|950|32.6336|13.9543
|951|32.6384|13.987
|952|32.6432|14.0196
|953|32.6478|14.0523
|954|32.6523|14.0849
|955|32.6568|14.1176
|956|32.6611|14.1502
|957|32.6653|14.1829
|958|32.6695|14.2156
|959|32.6736|14.2482
|960|32.6775|14.2809
|961|32.6814|14.3136
|962|32.6852|14.3463
|963|32.6888|14.3789
|964|32.6924|14.4116
|965|32.696|14.4443
|966|32.6994|14.477
|967|32.7027|14.5097
|968|32.706|14.5424
|969|32.7091|14.5751
|970|32.7122|14.6079
|971|32.7152|14.6406
|972|32.7181|14.6733
|973|32.721|14.706
|974|32.7237|14.7387
|975|32.7264|14.7715
|976|32.729|14.8042
|977|32.7316|14.8369
|978|32.734|14.8696
|979|32.7364|14.9024
|980|32.7387|14.9351
|981|32.741|14.9679
|982|32.7431|15.0006
|983|32.7452|15.0333
|984|32.7473|15.0661
|985|32.7492|15.0988
|986|32.7511|15.1316
|987|32.753|15.1643
|988|32.7547|15.1971
|989|32.7564|15.2298
|990|32.7581|15.2626
